doc_id,doc_dt,item,category,amount,price,discount,shop_num,cash_num
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Курица 500г.,"Птица, мясо",1,529.48,35.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Кола Стройгазмонтаж,Безалкогольные напитки,5,460.41,35.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Чипсы 40г.,"Чипсы, орехи, сухарики",5,350.03,25.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Минеральная вода ФосАгро,Безалкогольные напитки,4,913.63,47.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Буханка кукурузн. 400г.,"Хлеб, выпечка",1,604.09,41.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Фермерский лук 1кг.,Овощи,4,617.35,30.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Копчен. колбаса 300г.,"Колбасы, сосиски",5,4.58,0.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Яйцо С1,Яйцо,3,950.97,70.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Сыр Пармезан 50% 250г.,Сыры,3,522.28,38.0,10,4
IC9555GT78340C1I6X8T033HD,2025-05-14 09:16:22,Пиво безалкогольное ОАО «Морозова-Комиссаров»,Безалкогольные напитки,2,899.87,57.0,10,4
JL3110DI68102K9H6W3B362TV,2025-05-14 09:28:03,Фругурт 1%  120г.,Кисломолочные продукты,1,600.06,16.0,10,4
FW6728EB13865W6Z7E1K436QH,2025-05-14 09:49:38,Майонез 780г.,"Бакалея, соусы",2,736.51,14.0,10,4
FW6728EB13865W6Z7E1K436QH,2025-05-14 09:49:38,Лосось 1кг.,"Рыба, морепродукты",3,311.35,3.0,10,4
FW6728EB13865W6Z7E1K436QH,2025-05-14 09:49:38,Фасоль белая 350г.,Консервы,3,906.48,49.0,10,4
FW6728EB13865W6Z7E1K436QH,2025-05-14 09:49:38,Сыр Пармезан 45% 150г.,Сыры,5,94.67,8.0,10,4
DS6353HI99262W6X3X6X325OZ,2025-05-14 09:54:13,Фругурт 3.5%  400г.,Кисломолочные продукты,5,636.69,22.0,10,4
DS6353HI99262W6X3X6X325OZ,2025-05-14 09:54:13,Свежий баклажан 1кг.,Овощи,5,134.87,6.0,10,4
DS6353HI99262W6X3X6X325OZ,2025-05-14 09:54:13,Майонез 400г.,"Бакалея, соусы",2,409.74,41.0,10,4
DS6353HI99262W6X3X6X325OZ,2025-05-14 09:54:13,Груша (Малайзия),Фрукты,4,639.31,18.0,10,4
WK7506KQ74032X4I5Q5A053KL,2025-05-14 09:58:06,Копчен. колбаса 400г.,"Колбасы, сосиски",1,857.23,40.0,10,4
WK7506KQ74032X4I5Q5A053KL,2025-05-14 09:58:06,Лимонад ОАО «Гришин»,Безалкогольные напитки,2,394.84,31.0,10,4
RW8336WX85421H0S3Z9M244LP,2025-05-14 10:00:15,Батон кукурузн. 150г.,"Хлеб, выпечка",4,640.58,53.0,10,4
RW8336WX85421H0S3Z9M244LP,2025-05-14 10:00:15,Свежий огурец 1кг.,Овощи,2,637.59,16.0,10,4
LY0456CY24891G5Z5E8E264RD,2025-05-14 10:01:25,Говядина 1кг.,"Птица, мясо",3,828.36,52.0,10,4
LY0456CY24891G5Z5E8E264RD,2025-05-14 10:01:25,Яйцо С0,Яйцо,4,489.75,24.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Клубника (Нидерланды),Фрукты,3,283.36,20.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Молоко цельное 1% 850г.,Молочные продукты,2,648.55,63.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Фасоль белая 400г.,Консервы,5,236.93,10.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Сыр Российский 40% 250г.,Сыры,3,218.06,3.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Йогурт 3.5%  120г.,Кисломолочные продукты,4,924.48,74.0,10,4
PT5411YS75919E4A9L4M676XU,2025-05-14 10:23:56,Соус 220г.,"Бакалея, соусы",3,757.01,46.0,10,4
FY2776JG43120L8V8N6C944KD,2025-05-14 11:14:06,Майонез 220г.,"Бакалея, соусы",3,907.94,34.0,10,4
FY2776JG43120L8V8N6C944KD,2025-05-14 11:14:06,Кефир 1%  110г.,Кисломолочные продукты,3,224.68,12.0,10,4
FY2776JG43120L8V8N6C944KD,2025-05-14 11:14:06,Буханка пшен. 250г.,"Хлеб, выпечка",4,519.54,37.0,10,4
HP2575GV05868D4R1M1Q135RC,2025-05-14 11:58:24,Фругурт 1%  110г.,Кисломолочные продукты,5,57.73,5.0,10,4
HP2575GV05868D4R1M1Q135RC,2025-05-14 11:58:24,Сырокопч. сосиски 250г.,"Колбасы, сосиски",1,326.71,26.0,10,4
AM4120HO02594E2D6A0Q284DK,2025-05-14 12:40:34,Свинина 1кг.,"Птица, мясо",1,966.84,81.0,10,4
AM4120HO02594E2D6A0Q284DK,2025-05-14 12:40:34,Варен. сосиски 250г.,"Колбасы, сосиски",1,24.13,0.0,10,4
AM4120HO02594E2D6A0Q284DK,2025-05-14 12:40:34,Банан (Израиль),Фрукты,1,947.22,22.0,10,4
AM4120HO02594E2D6A0Q284DK,2025-05-14 12:40:34,Варен. колбаса 300г.,"Колбасы, сосиски",1,650.9,39.0,10,4
KT3589SN77761Y2D9E6Z124JE,2025-05-14 13:04:20,Фасоль красная 400г.,Консервы,3,483.17,15.0,10,4
KT3589SN77761Y2D9E6Z124JE,2025-05-14 13:04:20,Молоко ультрапастеризованное 3.5% 900г.,Молочные продукты,1,6.48,1.0,10,4
KT3589SN77761Y2D9E6Z124JE,2025-05-14 13:04:20,Говядина 1кг.,"Птица, мясо",5,707.97,69.0,10,4
KT3589SN77761Y2D9E6Z124JE,2025-05-14 13:04:20,Молоко ультрапастеризованное 2.5% 850г.,Молочные продукты,5,640.79,35.0,10,4
KT3589SN77761Y2D9E6Z124JE,2025-05-14 13:04:20,Фасоль красная 350г.,Консервы,5,528.48,30.0,10,4
KF0452NH94318W0P8V6E277BW,2025-05-14 13:12:20,Буханка кукурузн. 400г.,"Хлеб, выпечка",2,631.88,51.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Сыр Масдам 50% 150г.,Сыры,3,225.04,12.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Какао (Самоа) 400г.,"Чай, кофе, какао",5,88.69,2.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Крабовое мясо 1кг.,"Рыба, морепродукты",3,139.45,10.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Сыр Голландский 45% 250г.,Сыры,2,290.19,3.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Сыр Голландский 40% 150г.,Сыры,3,73.57,4.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Молоко пастеризованное 3.5% 400г.,Молочные продукты,4,395.7,16.0,10,4
EP6359JD53687H7S6O7P690GW,2025-05-14 13:22:46,Клубника (ОАЭ),Фрукты,3,236.82,15.0,10,4
VI7740JI25348E2F2J9L451DP,2025-05-14 13:40:01,Свинина 1кг.,"Птица, мясо",5,440.36,15.0,10,4
VI7740JI25348E2F2J9L451DP,2025-05-14 13:40:01,Молоко пастеризованное 3.5% 400г.,Молочные продукты,5,799.37,34.0,10,4
VI7740JI25348E2F2J9L451DP,2025-05-14 13:40:01,Семечки 40г.,"Чипсы, орехи, сухарики",2,354.07,25.0,10,4
KO3648EO43829T4S7P2F615UH,2025-05-14 13:49:58,Соус 400г.,"Бакалея, соусы",4,780.42,72.0,10,4
KO3648EO43829T4S7P2F615UH,2025-05-14 13:49:58,Кефир 2.5%  450г.,Кисломолочные продукты,2,689.57,9.0,10,4
KO3648EO43829T4S7P2F615UH,2025-05-14 13:49:58,Сыр Пармезан 40% 200г.,Сыры,1,293.55,14.0,10,4
KO3648EO43829T4S7P2F615UH,2025-05-14 13:49:58,Кефир 3.5%  120г.,Кисломолочные продукты,2,617.57,12.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Лосось 500г.,"Рыба, морепродукты",2,786.62,28.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Говядина 1кг.,"Птица, мясо",5,450.77,11.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Чипсы 120г.,"Чипсы, орехи, сухарики",2,746.91,25.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Свежий картофель 1кг.,Овощи,4,857.85,26.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Молоко ультрапастеризованное 2.5% 900г.,Молочные продукты,1,563.36,31.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Молоко пастеризованное 1% 400г.,Молочные продукты,4,889.28,4.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Свежий лук 450г.,Овощи,5,312.26,21.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Чипсы 140г.,"Чипсы, орехи, сухарики",1,0.39,0.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Молоко ультрапастеризованное 1% 450г.,Молочные продукты,4,604.53,34.0,10,4
HL9877TI14298P8I6E2I279YQ,2025-05-14 13:59:49,Батон кукурузн. 250г.,"Хлеб, выпечка",5,318.69,8.0,10,4
TS8454HZ85972T9Q1C4G252PT,2025-05-14 14:26:31,Чипсы 120г.,"Чипсы, орехи, сухарики",1,685.38,16.0,10,4
TS8454HZ85972T9Q1C4G252PT,2025-05-14 14:26:31,Копчен. сосиски 250г.,"Колбасы, сосиски",4,950.74,73.0,10,4
SR5047AS99825S1L9H3V633UE,2025-05-14 14:55:05,Сыр Пармезан 45% 250г.,Сыры,3,908.84,60.0,10,4
SR5047AS99825S1L9H3V633UE,2025-05-14 14:55:05,Буханка кукурузн. 250г.,"Хлеб, выпечка",1,888.19,27.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Сырокопч. колбаса 300г.,"Колбасы, сосиски",2,50.12,1.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Молоко пастеризованное 1% 850г.,Молочные продукты,2,205.49,12.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Фасоль красная 400г.,Консервы,2,508.72,48.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Снеки 140г.,"Чипсы, орехи, сухарики",2,431.61,8.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Минеральная вода Кузьмин Инкорпорэйтед,Безалкогольные напитки,1,262.22,5.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Булка ржан. 250г.,"Хлеб, выпечка",3,50.03,4.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Яблоко (Афганистан),Фрукты,3,963.83,25.0,10,4
ZG6959MF95806J0T1S8Y156VJ,2025-05-14 15:04:41,Копчен. сосиски 250г.,"Колбасы, сосиски",1,511.94,21.0,10,4
MI2657JJ56113R4F5D9B300MF,2025-05-14 15:10:05,Пиво 4.2% Овчинникова Лтд,Алкогольные напитки,5,994.01,39.0,10,4
MI2657JJ56113R4F5D9B300MF,2025-05-14 15:10:05,Курица 1кг.,"Птица, мясо",3,237.69,10.0,10,4
VC9203UZ02253C0Q1A7U785SC,2025-05-14 15:40:10,Батон ржан. 150г.,"Хлеб, выпечка",3,330.27,15.0,10,4
WH8370YQ30782E8X3K7J210FX,2025-05-14 15:52:10,Снеки 65г.,"Чипсы, орехи, сухарики",1,321.57,13.0,10,4
WH8370YQ30782E8X3K7J210FX,2025-05-14 15:52:10,Какао (Сирия) 400г.,"Чай, кофе, какао",3,103.53,2.0,10,4
WH8370YQ30782E8X3K7J210FX,2025-05-14 15:52:10,Пиво 4.2% Жданова Инк,Алкогольные напитки,2,248.0,11.0,10,4
LE3701SK27492I8C8K0B252PO,2025-05-14 15:53:32,Варен. колбаса 300г.,"Колбасы, сосиски",4,977.74,28.0,10,4
LE3701SK27492I8C8K0B252PO,2025-05-14 15:53:32,Горошек 400г.,Консервы,1,497.94,39.0,10,4
